nombre,genero,anio_nacimiento,anio_muerte,ocupacion,ciudadania,numero_lectores
Luis Felipe Sanchez Aponte,Male,1947,0,priest,Colombia,697
Gabriel Valenzuela,Male,1981,0,actor,Colombia,206154
Geovanis Cassiani,Male,1970,0,football,Colombia,7973
Gloria Polo,Female,1958,0,dentist,Colombia,102218
Gustavo Nieto Roa,Male,1942,0,film,Colombia,16326
Camilo Gomez,Male,1984,0,sport,Colombia,3944
Camilo Luzuriaga,Male,1953,0,film,Ecuador - Colombia,16196
Camilo Villegas,Male,1982,0,golf,Colombia,173818
Tony Castillo (pitcher),Male,1963,0,baseball,Colombia,9816
Ivonne Gomez,Female,1982,2010,model,Colombia,552
Jesus Martin-Barbero,Male,1937,2021,scientist,Spain - Colombia,100946
Jose Fernando Castro Caycedo,Male,1951,2008,politician,Colombia,10831
Luis Muriel,Male,1991,0,football,Colombia,1341687
Candelario Obeso,Male,1849,1884,writer,Colombia,110779
Norvey Orozco,Male,1994,0,football,Colombia,8450
Harry Geithner,Male,1967,0,actor,Colombia - Mexico,229015
Nestor Alvarez,Male,1980,0,football,Colombia,1551
V. M. Rabolu,Male,1926,2000,writer,Colombia,3191
Yonny Hernandez,Male,1988,0,racer,Colombia,141493
Victor Cortes,Male,1976,0,football,Colombia,20136
Alvaro Leyva,Male,1942,0,politician,Colombia,20349
Harold Urquijo,Male,1988,0,football,Colombia,1054
Hernan Cordoba,Male,1989,2009,football,Colombia,18284
Carlos Alzate,Male,1983,0,sport,Colombia,8966
Carlos Cuartas,Male,1940,2011,chess,Colombia,5141
Carlos De los Rios,Male,1974,0,painter,Colombia,947
Carlos Gaviria Diaz,Male,1937,2015,lawyer,Colombia,153913
Carlos German Mesa Ruiz,Male,1943,0,priest,Colombia,2241
Carlos Ibanez (Radsportler),Male,1981,0,sport,Colombia,625
Carlos Meza,Male,1977,2004,boxer,Colombia,1707
Carlos Munoz (racing driver),Male,1992,0,driver,Colombia,88233
Carlos Munoz (Ecuadorian footballer),Male,1964,1993,football,Ecuador - Colombia,38345
Carlos Ospina,Male,1982,0,sport,Colombia,4063
Carlos Posada Amador,Male,1908,1993,composer,Colombia,1706
Carlos Prada Sanmiguel,Male,1939,2013,bishop,Colombia,3091
Carlos Rincon,Male,1937,2018,literary,Colombia,5887
Carlos Uran,Male,1980,0,sport,Colombia,3895
Luis Miguel del Risco,Male,1989,0,football,Colombia,1312
Wilmar Roldan,Male,1980,0,football,Colombia,212363
Juan Sebastian Villate,Male,1991,0,football,Colombia,15062
Hugo Soto,Male,1983,0,football,Colombia,11244
Roberto Carlos Pena,Male,1984,0,football,Colombia,6068
Jarol Martinez,Male,1987,0,football,Colombia,27879
John Castillo (footballer),Male,1983,0,football,Colombia,2954
Julian Cruz,Male,1987,0,football,Colombia,1260
Jhonny Arteaga,Male,1986,0,football,Colombia,6439
Luis Carlos Asprilla,Male,1977,0,football,Colombia,1551
Charles Cordoba,Male,1982,0,football,Colombia,4105
Jose Angulo,Male,1988,0,football,Colombia,20863
Miguel Potes Mina,Male,1983,0,football,Colombia,868
Gustavo Cuellar,Male,1992,0,football,Colombia,378731
Jairo Zulbaran,Male,1970,2002,football,Colombia,3342
Joao Rodriguez (footballer),Male,1996,0,football,Colombia,300735
Gustavo Torres,Male,1996,0,football,Colombia,47660
Nick Bermudez,Male,1979,0,guitar,Colombia,91
